序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您是否已经年满十八岁？	2、您近七天内手机使用总时长为：—小时：	2、分钟：	3、您近七天网购总次数为（所有网购平台）：	4、您近一月内网购次数为（所有网购平台）：
1	2022/6/17 17:24:20	218秒	微信	N/A	111.194.189.85(北京-北京)	2	27	12	2	5
2	2022/6/17 19:19:57	200秒	微信	N/A	120.245.116.125(北京-北京)	2	75	28	1	2
3	2022/6/18 9:22:11	44秒	链接	直接访问	120.244.143.191(北京-北京)	2	43	39	4	19
4	2022/6/21 11:03:38	196秒	微信	N/A	221.216.209.243(北京-北京)	2	71	48	10	28
5	2022/6/21 11:23:04	99秒	微信	N/A	61.149.249.254(北京-北京)	2	27	35	5	13
6	2022/6/21 11:47:37	55秒	微信	N/A	223.104.41.115(北京-北京)	2	11	24	2	5
7	2022/6/21 15:27:19	51秒	微信	N/A	120.244.194.144(北京-北京)	2	106	15	7	30
8	2022/6/21 15:32:54	26秒	微信	N/A	123.118.65.228(北京-北京)	2	4	55	0	0
9	2022/6/21 16:02:05	21秒	微信	N/A	222.131.27.218(北京-北京)	2	4	30	2	10
10	2022/6/21 16:07:20	293秒	微信	N/A	123.113.227.104(北京-北京)	2	99	25	10	23
11	2022/6/21 16:42:52	76秒	微信	N/A	124.127.145.57(北京-北京)	2	24	47	4	9
12	2022/6/21 17:54:46	109秒	微信	N/A	222.129.134.220(北京-北京)	2	70	0	0	1
13	2022/6/21 18:26:50	30秒	链接	直接访问	42.198.55.236(北京-北京)	1	19	54	1	3
14	2022/6/21 18:37:31	130秒	微信	N/A	115.171.63.75(北京-北京)	1	65	30	0	12
15	2022/6/21 18:37:40	70秒	微信	N/A	120.245.92.177(北京-北京)	2	11	13	0	7
16	2022/6/21 18:37:45	57秒	微信	N/A	114.254.1.4(北京-北京)	2	42	42	1	4
17	2022/6/21 18:37:48	87秒	微信	N/A	219.142.99.5(北京-北京)	2	8	6	8	20
18	2022/6/21 18:40:17	25秒	微信	N/A	61.149.219.129(北京-北京)	2	50	26	11	30
19	2022/6/21 18:44:35	19秒	微信	N/A	124.64.18.89(北京-北京)	2	7	0	10	15
20	2022/6/21 18:45:37	38秒	微信	N/A	114.252.249.245(北京-北京)	2	57	0	5	20
21	2022/6/21 18:46:18	426秒	链接	直接访问	58.31.196.63(河北-保定)	2	39	44	5	4
22	2022/6/21 18:46:19	306秒	微信	N/A	1.203.117.66(北京-北京)	1	25	3	1	1
23	2022/6/21 18:47:16	60秒	微信	N/A	120.244.143.8(北京-北京)	1	18	30	15	35
24	2022/6/21 18:48:24	136秒	微信	N/A	223.104.39.79(北京-北京)	1	30	25	3	8
25	2022/6/21 18:49:36	137秒	微信	N/A	111.192.99.201(北京-北京)	1	18	25	2	10
26	2022/6/21 18:50:06	101秒	微信	N/A	111.201.150.116(北京-北京)	1	16	21	5	7
27	2022/6/21 18:51:38	94秒	微信	N/A	221.216.199.62(北京-北京)	1	28	0	7	20
28	2022/6/21 18:54:38	62秒	微信	N/A	123.123.42.210(北京-北京)	1	20	30	10	30
29	2022/6/21 18:54:44	138秒	微信	N/A	221.221.55.106(北京-北京)	1	28	40	2	10
30	2022/6/21 18:55:22	238秒	微信	N/A	223.104.39.17(北京-北京)	1	27	30	15	30
31	2022/6/21 18:58:17	75秒	微信	N/A	124.64.122.41(北京-北京)	1	20	30	10	20
32	2022/6/21 18:58:44	261秒	微信	N/A	223.104.41.178(北京-北京)	1	36	23	2	10
33	2022/6/21 18:58:52	76秒	微信	N/A	111.192.96.253(北京-北京)	1	35	42	18	57
34	2022/6/21 18:59:17	21秒	链接	直接访问	42.198.55.236(北京-北京)	1	30	26	1	3
35	2022/6/21 19:03:40	37秒	微信	N/A	120.244.192.199(北京-北京)	1	5	42	0	0
36	2022/6/21 19:04:04	72秒	微信	N/A	223.104.40.50(北京-北京)	1	26	8	1	82
37	2022/6/21 19:04:17	71秒	微信	N/A	123.115.146.12(北京-北京)	2	33	7	0	2
38	2022/6/21 19:05:11	62秒	微信	N/A	222.129.6.56(北京-北京)	1	4	10	1	8
39	2022/6/21 19:05:17	68秒	链接	直接访问	120.244.192.63(北京-北京)	2	49	9	2	2
40	2022/6/21 19:05:59	52秒	微信	N/A	101.87.42.158(上海-上海)	1	34	56	4	15
41	2022/6/21 19:06:02	196秒	微信	N/A	135.19.23.86(国外-加拿大)	1	5	19	0	3
42	2022/6/21 19:06:44	61秒	微信	N/A	101.87.42.158(上海-上海)	1	30	20	12	30
43	2022/6/21 19:07:45	91秒	微信	N/A	223.104.41.203(北京-北京)	1	24	30	3	7
44	2022/6/21 19:08:53	128秒	微信	N/A	223.72.73.167(北京-北京)	1	13	20	2	50
45	2022/6/21 19:09:03	48秒	微信	N/A	221.216.246.249(北京-北京)	2	40	0	5	15
46	2022/6/21 19:09:19	52秒	微信	N/A	120.244.143.8(北京-北京)	1	37	20	25	100
47	2022/6/21 19:10:19	33秒	微信	N/A	221.222.20.45(北京-北京)	2	6	0	5	15
48	2022/6/21 19:10:52	148秒	微信	N/A	101.38.125.248(北京-北京)	1	17	9	10	35
49	2022/6/21 19:16:47	43秒	微信	N/A	123.112.189.53(北京-北京)	2	9	52	1	2
50	2022/6/21 19:17:01	49秒	微信	N/A	120.244.166.23(北京-北京)	2	65	27	3	3
51	2022/6/21 19:17:18	9秒	微信	N/A	120.244.166.23(北京-北京)	2	67	25	3	3
52	2022/6/21 19:17:35	31秒	微信	N/A	180.77.8.153(北京-北京)	1	70	0	3	8
53	2022/6/21 19:17:41	50秒	微信	N/A	202.215.155.131(国外-日本)	2	16	43	0	0
54	2022/6/21 19:19:48	70秒	微信	N/A	124.64.18.252(北京-北京)	1	9	31	23	64
55	2022/6/21 19:20:12	97秒	微信	N/A	101.38.23.227(北京-北京)	1	30	0	1	5
56	2022/6/21 19:22:08	257秒	微信	N/A	123.147.246.215(重庆-重庆)	2	79	35	0	19
57	2022/6/21 19:22:56	270秒	链接	直接访问	123.120.99.197(北京-北京)	2	22	44	1	6
58	2022/6/21 19:26:55	60秒	微信	N/A	120.244.166.174(北京-北京)	2	63	30	9	38
59	2022/6/21 19:26:57	321秒	微信	N/A	106.39.149.159(北京-北京)	2	50	1	0	3
60	2022/6/21 19:28:14	27秒	微信	N/A	123.112.152.201(北京-北京)	2	43	8	4	7
61	2022/6/21 19:29:20	77秒	微信	N/A	120.245.122.59(北京-北京)	2	91	7	2	6
62	2022/6/21 19:29:34	27秒	微信	N/A	111.201.132.66(北京-北京)	1	14	27	2	3
63	2022/6/21 19:30:22	101秒	微信	N/A	221.218.222.191(北京-北京)	1	49	51	3	8
64	2022/6/21 19:32:27	57秒	微信	N/A	123.120.187.92(北京-北京)	2	78	51	46	61
65	2022/6/21 19:33:36	290秒	微信	N/A	223.72.85.98(北京-北京)	1	52	47	7	28
66	2022/6/21 19:35:41	49秒	微信	N/A	219.143.174.63(北京-北京)	2	15	4	0	5
67	2022/6/21 19:38:56	41秒	微信	N/A	124.64.126.245(北京-北京)	1	30	33	1	3
68	2022/6/21 19:41:55	40秒	微信	N/A	1.88.108.19(北京-北京)	2	107	46	0	3
69	2022/6/21 19:42:08	66秒	微信	N/A	123.113.231.223(北京-北京)	2	50	34	0	0
70	2022/6/21 19:45:00	287秒	微信	N/A	111.192.99.123(北京-北京)	1	42	22	6	20
